created,updated,variant_id,model_year_id,vehicle_model_id,brand_id,region_id,oem_id,region_name,country_name,oem_name,brand_name,vehicle_model_name,vehicle_model_generic_name,model_year,year_launched,variant_name,transmission_type,engine_type,drivetrain,vehicle_model_aliases,vehicle_category,vehicle_type,discontinuation_date,variant_full_name,variant_aliases,engine_capacity_cc,power_bhp,torque_nm,mileage_kmpl,seating_capacity,fuel_tank_capacity_litres,boot_space_litres,ex_showroom_price,on_road_price,price_units,safety_rating,variant_status,brochure_pdf,brochure_download_link,region_level_guidelines,region_level_guardrails,brand_logo_url,brand_website,parent_company,brand_level_guidelines,brand_level_guardrails,oem_brand_awareness,oem_country_of_origin,oem_wiki_description
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Alto K10,Alto K10,2025,2010,LXi (O) MT,Manual,Petrol,,,,,,,,998 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Alto K10,Alto K10,2025,2010,VXi (O) MT,Manual,Petrol,,,,,,,,998 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Alto K10,Alto K10,2025,2010,LXi (O) CNG,Manual,CNG,,,,,,,,998 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Alto K10,Alto K10,2025,2010,VXi (O) AGS,Automatic,Petrol,,,,,,,,998 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Alto K10,Alto K10,2025,2010,VXi+ (O) MT,Manual,Petrol,,,,,,,,998 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Alto K10,Alto K10,2025,2010,VXi (O) CNG,Manual,CNG,,,,,,,,998 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Alto K10,Alto K10,2025,2010,VXi+ (O) AGS,Automatic,Petrol,,,,,,,,998 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/23ccb872-a8e0-4293-8a2d-b53083cb40c2-695397a2_Arena-Alto-K10-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,Brezza,2025,2016,LXi MT,Manual,Petrol,,,,,,,,1462 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,Brezza,2025,2016,LXi CNG,Manual,CNG,,,,,,,,1462 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,Brezza,2025,2016,VXi MT,Manual,Petrol,,,,,,,,1462 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,Brezza,2025,2016,VXi CNG,Manual,CNG,,,,,,,,1462 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,Brezza,2025,2016,ZXi MT,Manual,Petrol,,,,,,,,1462 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,Brezza,2025,2016,VXi AT,Automatic,Petrol,,,,,,,,1462 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,Brezza,2025,2016,ZXi CNG,Manual,CNG,,,,,,,,1462 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,Brezza,2025,2016,ZXi+ MT,Manual,Petrol,,,,,,,,1462 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,Brezza,2025,2016,ZXi AT,Automatic,Petrol,,,,,,,,1462 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Brezza,Brezza,2025,2016,ZXi+ AT,Automatic,Petrol,,,,,,,,1462 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/240692fa-fe58-425e-ad1c-507a81023bfe-6953973e_Arena-Brezza-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Celerio,Celerio,2025,2014,LXi MT,Manual,Petrol,,,,,,,,998 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Celerio,Celerio,2025,2014,VXi MT,Manual,Petrol,,,,,,,,998 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Celerio,Celerio,2025,2014,VXi AGS,Automatic,Petrol,,,,,,,,998 cc,,,,,,,,,,,Available,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Celerio,Celerio,2025,2014,ZXi MT,Manual,Petrol,,,,,,,,998 cc,,,,,,,,,,,,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Celerio,Celerio,2025,2014,VXi CNG,Manual,CNG,,,,,,,,998 cc,,,,,,,,,,,,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Celerio,Celerio,2025,2014,ZXi AGS,Automatic,Petrol,,,,,,,,998 cc,,,,,,,,,,,,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Celerio,Celerio,2025,2014,ZXi+ MT,Manual,Petrol,,,,,,,,998 cc,,,,,,,,,,,,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/dde96332-1c21-4d11-bd5d-97ea4d696cae-69539a9b_Arena-Celerio-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Celerio,Celerio,2025,2014,ZXi+ AGS,Automatic,Petrol,,,,,,,,998 cc,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Dzire,Dzire 3rd gen,2025,2017,,,,,,,,,,,,,,,,,,,,,,,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/89644569-ff0f-4395-bd6c-fe0d7c6e2f5c-6954b485_Arena-Dzire-Brochure.pdf,https://d24ohqpcwj3ww1.cloudfront.net/Autobot/media/document/89644569-ff0f-4395-bd6c-fe0d7c6e2f5c-6954b485_Arena-Dzire-Brochure.pdf,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Eeco,Eeco New Gen,2025,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Ertiga,Ertiga (2nd Gen),2025,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,S-presso,S-presso,2025,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Swift,Swift 3rd gen,2025,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,Victoris,Victoris,2025,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Arena,WagonR,WagonR 3rd gen,2025,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Baleno,Baleno,2025,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Ciaz,Ciaz,2025,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Fronx,Fronx,2025,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Grand Vitara,Grand Vitara,2025,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,India,India,Suzuki Motor Corporation,Maruti Suzuki Nexa,Ignis,Ignis,2025,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
